ip_host,snmp,mac-address,hostname
172.16.1.67,,08:62:66:46:42:76,ws23.rud.ua
172.16.1.68,SNMPv2-MIB::sysDescr.0 = KYOCERA Document Solutions Printing System,00:17:c8:b9:5f:bb,ws23-xp.rud.ua
172.16.1.69,,08:62:66:46:42:73,ws24.rud.ua
172.16.1.70,,48:5b:39:cf:8f:b3,ws135.rud.ua
172.16.1.71,,08:62:66:7c:07:b3,ws25.rud.ua
172.16.1.72,,fc:34:97:df:bc:2c,ws136.rud.ua
172.16.1.73,,fc:34:97:df:bb:35,ws137.rud.ua
172.16.1.74,,,ws26.rud.ua
172.16.1.75,,fc:34:97:df:be:81,ws26-xp.rud.ua
172.16.1.76,,,ws46.rud.ua
172.16.1.77,,,rada1.rud.ua
172.16.1.78,,,
172.16.1.79,,04:d4:c4:af:86:a2,ws7.rud.ua
172.16.1.80,,00:1b:fc:2f:29:94,glpi.rud.ua
172.16.1.81,,,
172.16.1.82,,ac:22:0b:76:60:91,ws29.rud.ua
172.16.1.83,,,angel2-xp.rud.ua
172.16.1.84,,,ws15.rud.ua
172.16.1.85,SNMPv2-MIB::sysDescr.0 = KYOCERA Document Solutions Printing System,00:17:c8:20:c4:23,
172.16.1.86,,f8:32:e4:a0:9c:dc,ws31.rud.ua
172.16.1.87,,f0:2f:74:1a:9a:54,ws121.rud.ua
172.16.1.88,,2c:56:dc:4d:3b:9d,ws32.rud.ua
172.16.1.89,,,
172.16.1.90,,,
172.16.1.91,SNMPv2-MIB::sysDescr.0 = EPSON Built-in 10Base-T/100Base-TX Print Server,b0:e8:92:f7:89:39,
172.16.1.92,,,ws16.rud.ua
172.16.1.93,,,ws30.rud.ua
172.16.1.94,SNMPv2-MIB::sysDescr.0 = KYOCERA Document Solutions Printing System,00:17:c8:a0:b8:c4,KMA0B8C4
172.16.1.95,,b4:2e:99:b8:e9:12,ws90.rud.ua
172.16.1.96,,,ws33-xp.rud.ua
172.16.1.97,,,
172.16.1.98,,,
172.16.1.99,,,
172.16.1.100,,,
172.16.1.101,,00:0c:29:43:a5:b8,vcenter.rud.ua
172.16.1.102,,fc:34:97:0e:83:dd,ws140.rud.ua
172.16.1.103,,,qguar.rud.ua
172.16.1.104,SNMPv2-MIB::sysDescr.0 = KYOCERA Document Solutions Printing System,00:17:c8:22:99:73,
172.16.1.105,SNMPv2-MIB::sysDescr.0 = KYOCERA Document Solutions Printing System,00:17:c8:22:15:fe,
172.16.1.106,SNMPv2-MIB::sysDescr.0 = KYOCERA Document Solutions Printing System,00:c0:ee:39:b8:3e,
172.16.1.107,SNMPv2-MIB::sysDescr.0 = KYOCERA Document Solutions Printing System,00:17:c8:3e:4a:ca,
172.16.1.108,,c8:60:00:e0:0c:58,avk.rud.ua
172.16.1.109,,,
172.16.1.110,,,ws110.rud.ua
172.16.1.111,,,vcenter.rud.ua
172.16.1.112,,fc:34:97:0f:5e:79,ws129.rud.ua
172.16.1.113,,28:28:5d:6b:af:f7,
172.16.1.114,,,
172.16.1.115,SNMPv2-MIB::sysDescr.0 = ,00:90:e8:82:ca:f0,
172.16.1.116,SNMPv2-MIB::sysDescr.0 = ,00:90:e8:82:ca:d5,
172.16.1.117,SNMPv2-MIB::sysDescr.0 = ,00:90:e8:83:da:df,
172.16.1.118,SNMPv2-MIB::sysDescr.0 = ,00:90:e8:81:44:b1,
172.16.1.119,SNMPv2-MIB::sysDescr.0 = KYOCERA Document Solutions Printing System,00:17:c8:16:72:1d,
172.16.1.120,,04:92:26:5c:ab:7a,ws54.rud.ua
172.16.1.121,,,ws56.rud.ua
172.16.1.122,,04:92:26:5c:b3:23,ws58.rud.ua
172.16.1.123,,18:31:bf:cb:9f:01,ws60.rud.ua
172.16.1.124,,fc:3f:db:38:a5:e6,export3.rud.ua
172.16.1.125,,40:b0:76:db:1d:0b,ws71.rud.ua
172.16.1.126,SNMPv2-MIB::sysDescr.0 = ,00:90:e8:83:da:bb,ws86.rud.ua
172.16.1.127,SNMPv2-MIB::sysDescr.0 = ,00:90:e8:83:da:cd,
172.16.1.128,noSuchName at SNMPv2-MIB::sysDescr.0 = No Such Object currently exists at this OID,e4:1e:0a:00:87:e8,
172.16.1.129,,6a:77:00:ff:66:e1,
172.16.1.130,,d4:5d:64:1d:29:35,ws99.rud.ua
172.16.1.131,,,ws101.rud.ua
172.16.1.132,,,
172.16.1.133,,,
172.16.1.134,,,tab2.rud.ua
172.16.1.135,,,
172.16.1.136,,,
172.16.1.137,,,ws48-xp.rud.ua
172.16.1.138,,,
172.16.1.139,,,
172.16.1.140,,,
172.16.1.141,SNMPv2-MIB::sysDescr.0 = ,00:90:e8:74:77:ad,
172.16.1.142,SNMPv2-MIB::sysDescr.0 = ,00:90:e8:83:da:e8,
